feature_columns,target_columns,train_mse,train_mae,train_rmse,train_mape,train_mse_per_target,test_mse,test_mae,test_rmse,test_mape,test_mse_per_target
"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 1]",[1],"[5609.377073867271, 6967.764525190026, 37773.80413492746]","[61.17800700397874, 70.70276884835152, 189.2104350035734]","[74.89577473974931, 83.47313654817354, 194.35484078079315]","[46.91170949499681, 57.028529750720466, 241.2714902721667]","[array([5609.37707387]), array([6967.76452519]), array([37773.80413493])]","[19655.791829898197, 23685.07803675306, 10093.621122321869]","[139.1759079005632, 152.9765697906935, 98.3612261896596]","[140.19911493978196, 153.89957126890596, 100.46701509610938]","[73.09190698230653, 80.41255984351757, 52.96521212704156]","[array([19655.7918299]), array([23685.07803675]), array([10093.62112232])]"
"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 1]",[1],"[5609.377073867271, 6967.764525190026, 37773.80413492746]","[61.17800700397874, 70.70276884835152, 189.2104350035734]","[74.89577473974931, 83.47313654817354, 194.35484078079315]","[46.91170949499681, 57.028529750720466, 241.2714902721667]","[array([5609.37707387]), array([6967.76452519]), array([37773.80413493])]","[19655.791829898197, 23685.07803675306, 10093.621122321869]","[139.1759079005632, 152.9765697906935, 98.3612261896596]","[140.19911493978196, 153.89957126890596, 100.46701509610938]","[73.09190698230653, 80.41255984351757, 52.96521212704156]","[array([19655.7918299]), array([23685.07803675]), array([10093.62112232])]"
[1],[1],"[436.36352097965926, 861.0893723213994, 47729.085794052924]","[16.8933978340599, 22.517018148588754, 181.85930741784654]","[20.88931595288987, 29.344324363007566, 218.46987388208225]","[25.12306358280625, 35.90424570246764, 275.4942712569586]","[array([436.36352098]), array([861.08937232]), array([47729.08579405])]","[729.5512085948136, 535.5515123099428, 1375.5826570732872]","[26.01038619854968, 21.257905761923446, 27.913647204381068]","[27.01020563777354, 23.14198591975077, 37.08884814972402]","[13.49796681279352, 10.907977299435478, 13.910703958774898]","[array([729.55120859]), array([535.55151231]), array([1375.58265707])]"
[1],[1],"[5971.766026099995, 5562.74940004557, 149668.3928918047]","[63.76229057793126, 60.58246257467551, 315.9464788447214]","[77.27720249918468, 74.58384141384492, 386.86999481971293]","[49.51440812918971, 46.174349984443715, 486.00478292356934]","[array([5971.7660261]), array([5562.74940005]), array([149668.3928918])]","[21243.201065464484, 20486.000294914676, 2184.3715339810306]","[144.7942497279558, 142.13171647985752, 35.27470476442968]","[145.75047535244778, 143.129313192353, 46.73726065978868]","[76.07923245763321, 74.65789890135547, 17.711301224212995]","[array([21243.20106546]), array([20486.00029491]), array([2184.37153398])]"
[1],[1],"[5971.766026099995, 5562.74940004557, 149668.3928918047]","[63.76229057793126, 60.58246257467551, 315.9464788447214]","[77.27720249918468, 74.58384141384492, 386.86999481971293]","[49.51440812918971, 46.174349984443715, 486.00478292356934]","[array([5971.7660261]), array([5562.74940005]), array([149668.3928918])]","[21243.201065464484, 20486.000294914676, 2184.3715339810306]","[144.7942497279558, 142.13171647985752, 35.27470476442968]","[145.75047535244778, 143.129313192353, 46.73726065978868]","[76.07923245763321, 74.65789890135547, 17.711301224212995]","[array([21243.20106546]), array([20486.00029491]), array([2184.37153398])]"
[1],[1],"[3243.875532870793, 1852.799140198365, 88.41975516988968]","[47.320529978738726, 39.870095068387094, 7.787687601229893]","[56.95503079510003, 43.04415337996979, 9.403177929290166]","[71.72758346003, 45.669700964422645, 9.665352504905552]","[array([3243.87553287]), array([1852.7991402]), array([88.41975517])]","[388.5989055952594, 7586.323402900349, 524.527553215988]","[15.370457381363765, 85.68442826783424, 20.193159989411114]","[19.712912154099897, 87.09950288549499, 22.902566520283003]","[7.616201763682202, 44.76673731506888, 10.254128020166245]","[array([388.5989056]), array([7586.3234029]), array([524.52755322])]"
[1],[1],"[3243.873637614501, 1852.6798088396024, 88.41974978047219]","[47.32051155446175, 39.86877195130271, 7.787687321643385]","[56.95501415691599, 43.04276720704191, 9.403177642715901]","[71.72756201990839, 45.67252234283225, 9.66535245650833]","[array([3243.87363761]), array([1852.67980884]), array([88.41974978])]","[388.5996848903544, 7584.892323345892, 524.527529844154]","[15.370475049435312, 85.67609998060921, 20.193159989411114]","[19.71293192019783, 87.09128729870682, 22.902566010038132]","[7.616210729746991, 44.762324730902684, 10.254128036610224]","[array([388.59968489]), array([7584.89232335]), array([524.52752984])]"
[1],[1],"[2746.7700697187374, 2119.8712029039652, 1170.327806549098]","[42.40309780357928, 35.64238983498293, 30.117085320609615]","[52.40963718362051, 46.042059064554934, 34.21005417343121]","[65.66658747643636, 56.59862774704221, 42.96177731997924]","[array([2746.77006972]), array([2119.8712029]), array([1170.32780655])]","[687.3352571108969, 1574.6644848089766, 297.76048711382435]","[22.704971737714978, 37.3919048335466, 13.146938732488376]","[26.217079492401453, 39.68204234674643, 17.255737802650582]","[11.468187494384232, 19.254154284281295, 6.499796604205536]","[array([687.33525711]), array([1574.66448481]), array([297.76048711])]"
[1],[1],"[2747.3539423693915, 2186.5319579030056, 1149.8963792726925]","[42.40905582049018, 36.19304311564945, 29.818602319030944]","[52.41520716709409, 46.76036738417488, 33.910122076935856]","[65.67415658770804, 57.50363974904774, 42.59226068171398]","[array([2747.35394237]), array([2186.5319579]), array([1149.89637927])]","[686.9017403856716, 1585.6840728699244, 306.6205757723182]","[22.69557039622649, 37.49769257254742, 13.369839341531462]","[26.20881035807752, 39.82064882532584, 17.510584678197304]","[11.463211376945017, 19.304877711068073, 6.60999871280178]","[array([686.90174039]), array([1585.68407287]), array([306.62057577])]"
[1],[1],"[322.4915318502126, 611.913526148985, 49.61177070989552]","[14.761176196320191, 19.532191601048265, 5.4353417290064]","[17.958049221733763, 24.736885942838178, 7.043562359338882]","[21.4266851747293, 29.92197715163927, 6.327523222278064]","[array([322.49153185]), array([611.91352615]), array([49.61177071])]","[624.543558462806, 653.7360206243484, 199.9583803485997]","[24.066098366389934, 24.2205031772452, 10.943612612135317]","[24.99086950193622, 25.568261978952506, 14.140664070283252]","[12.494459030440503, 12.544146296609984, 5.439685189485087]","[array([624.54355846]), array([653.73602062]), array([199.95838035])]"
